rank,arxiv_id,title,first_author,all_authors,first_author_affiliation,published,pub_year,pub_month,pdf_url,relevance_score,summary_excerpt
1,2412.06700v1,Facade: High-Precision Insider Threat Detection Using Deep Contextual Anomaly Detection,Alex Kantchelian,Alex Kantchelian; Casper Neo; Ryan Stevens; Hyungwon Kim; Zhaohao Fu; Sadegh Momeni; Birkett Huber; Elie Bursztein; Yanis Pavlidis; Senaka Buthpitiya; Martin Cochran; Massimiliano Poletto,Unknown,2024-12-09T17:46:28Z,2024,12,https://arxiv.org/pdf/2412.06700v1,12.5,We present Facade (Fast and Accurate Contextual Anomaly DEtection): a high-precision deep-learning-based anomaly detection system deployed at Google (
2,2409.09770v2,Cluster Aware Graph Anomaly Detection,Lecheng Zheng,Lecheng Zheng; John R. Birge; Haiyue Wu; Yifang Zhang; Jingrui He,Unknown,2024-09-15T15:41:59Z,2024,9,https://arxiv.org/pdf/2409.09770v2,9.5,"Graph anomaly detection has gained significant attention across various domains, particularly in critical applications like fraud detection in e-comme"
3,2403.09209v2,LAN: Learning Adaptive Neighbors for Real-Time Insider Threat Detection,Xiangrui Cai,Xiangrui Cai; Yang Wang; Sihan Xu; Hao Li; Ying Zhang; Zheli Liu; Xiaojie Yuan,Unknown,2024-03-14T09:22:17Z,2024,3,https://arxiv.org/pdf/2403.09209v2,9.5,Enterprises and organizations are faced with potential threats from insider employees that may lead to serious consequences. Previous studies on insid
4,2407.17346v1,Insider Threats Mitigation: Role of Penetration Testing,Krutarth Chauhan,Krutarth Chauhan,Unknown,2024-07-24T15:14:48Z,2024,7,https://arxiv.org/pdf/2407.17346v1,9,Conventional security solutions are insufficient to address the urgent cybersecurity challenge posed by insider attacks. While a great deal of researc
5,2406.09005v1,Privacy Aware Memory Forensics,Janardhan Kalikiri,Janardhan Kalikiri; Gaurav Varshney; Jaswinder Kour; Tarandeep Singh,Unknown,2024-06-13T11:18:49Z,2024,6,https://arxiv.org/pdf/2406.09005v1,8.5,"In recent years, insider threats and attacks have been increasing in terms of frequency and cost to the corporate business. The utilization of end-to-"
6,2411.01779v1,TabSec: A Collaborative Framework for Novel Insider Threat Detection,Zilin Huang,Zilin Huang; Xiangyan Tang; Hongyu Li; Xinyi Cao; Jieren Cheng,Unknown,2024-11-04T04:07:16Z,2024,11,https://arxiv.org/pdf/2411.01779v1,8,"In the era of the Internet of Things (IoT) and data sharing, users frequently upload their personal information to enterprise databases to enjoy enhan"
7,2409.13083v1,FedAT: Federated Adversarial Training for Distributed Insider Threat Detection,R G Gayathri,R G Gayathri; Atul Sajjanhar; Md Palash Uddin; Yong Xiang,Unknown,2024-09-19T20:44:33Z,2024,9,https://arxiv.org/pdf/2409.13083v1,8,"Insider threats usually occur from within the workplace, where the attacker is an entity closely associated with the organization. The sequence of act"
8,2408.08902v1,Audit-LLM: Multi-Agent Collaboration for Log-based Insider Threat Detection,Chengyu Song,Chengyu Song; Linru Ma; Jianming Zheng; Jinzhi Liao; Hongyu Kuang; Lin Yang,Unknown,2024-08-12T11:33:45Z,2024,8,https://arxiv.org/pdf/2408.08902v1,8,"Log-based insider threat detection (ITD) detects malicious user activities by auditing log entries. Recently, large language models (LLMs) with strong"
9,2411.02645v1,Fine Grained Insider Risk Detection,Birkett Huber,Birkett Huber; Casper Neo; Keiran Sampson; Alex Kantchelian; Brett Ksobiech; Yanis Pavlidis,Unknown,2024-11-04T22:07:38Z,2024,11,https://arxiv.org/pdf/2411.02645v1,7,We present a method to detect departures from business-justified workflows among support agents. Our goal is to assist auditors in identifying agent a
10,2501.10389v1,"Transparency, Security, and Workplace Training & Awareness in the Age of Generative AI",Lakshika Vaishnav,Lakshika Vaishnav; Sakshi Singh; Kimberly A. Cornell,Unknown,2024-12-19T17:40:58Z,2024,12,https://arxiv.org/pdf/2501.10389v1,6,This paper investigates the impacts of the rapidly evolving landscape of generative Artificial Intelligence (AI) development. Emphasis is given to how
11,2412.16224v1,Formal Verification of Permission Voucher,Khan Reaz,Khan Reaz; Gerhard Wunder,Unknown,2024-12-18T14:11:50Z,2024,12,https://arxiv.org/pdf/2412.16224v1,6,"Formal verification is a critical process in ensuring the security and correctness of cryptographic protocols, particularly in high-assurance domains."
12,2412.13446v1,Toward an Insider Threat Education Platform: A Theoretical Literature Review,Haywood Gelman,Haywood Gelman; John D. Hastings; David Kenley; Eleanor Loiacono,Unknown,2024-12-18T02:34:33Z,2024,12,https://arxiv.org/pdf/2412.13446v1,6,"Insider threats (InTs) within organizations are small in number but have a disproportionate ability to damage systems, information, and infrastructure"
13,2411.06172v1,IDU-Detector: A Synergistic Framework for Robust Masquerader Attack Detection,Zilin Huang,Zilin Huang; Xiulai Li; Xinyi Cao; Ke Chen; Longjuan Wang; Logan Bo-Yee Liu,Unknown,2024-11-09T13:03:29Z,2024,11,https://arxiv.org/pdf/2411.06172v1,6,"In the digital age, users store personal data in corporate databases, making data security central to enterprise management. Given the extensive attac"
14,2410.21979v1,VaultFS: Write-once Software Support at the File System Level Against Ransomware Attacks,Pasquale Caporaso,Pasquale Caporaso; Giuseppe Bianchi; Francesco Quaglia,Unknown,2024-10-29T12:06:24Z,2024,10,https://arxiv.org/pdf/2410.21979v1,6,The demand for data protection measures against unauthorized changes or deletions is steadily increasing. These measures are essential for maintaining
15,2410.18291v1,Enhancing Enterprise Security with Zero Trust Architecture,Mahmud Hasan,Mahmud Hasan,Unknown,2024-10-23T21:53:16Z,2024,10,https://arxiv.org/pdf/2410.18291v1,6,"Zero Trust Architecture (ZTA) represents a transformative approach to modern cybersecurity, directly addressing the shortcomings of traditional perime"
