arxiv_id,filename,title,date,keywords,domain,url,download_date
2510.09613,2510.09613_FedRAMP_20x_Automation.pdf,Automating the RMF: Lessons from the FedRAMP 20x Pilot,2025-10,"FedRAMP, compliance automation, cloud security",Federal cloud compliance,https://arxiv.org/abs/2510.09613,2026-01-06
2512.13907,2512.13907_EU_AI_Act_High_Risk_Systems.pdf,Assessing High-Risk AI Systems under the EU AI Act: From Legal Requirements to Technical Verification,2025-12,"EU AI Act, high-risk systems, compliance verification",EU regulatory compliance,https://arxiv.org/abs/2512.13907,2026-01-06
2510.13591,2510.13591_EU_AI_Act_Subject_Roles.pdf,Subject Roles in the EU AI Act: Mapping and Regulatory Implications,2025-10,"EU AI Act, regulatory roles, subject mapping",EU regulatory framework,https://arxiv.org/abs/2510.13591,2026-01-06
2510.06445,2510.06445_Agentic_Security_Survey.pdf,"A Survey on Agentic Security: Applications, Threats and Defenses",2025-10,"AI security, threat models, cloud systems",AI security and infrastructure,https://arxiv.org/abs/2510.06445,2026-01-06
2508.18765,2508.18765_GaaS_AI_Compliance.pdf,Governance-as-a-Service: A Multi-Agent Framework for AI System Compliance,2025-08,"AI governance, compliance framework, EU AI Act",Compliance automation,https://arxiv.org/abs/2508.18765,2026-01-06
2503.05787,2503.05787_EU_AI_Act_Learning.pdf,Mapping the Regulatory Learning Space for the EU AI Act,2025-03,"EU AI Act, regulatory learning, compliance coordination",EU regulatory framework,https://arxiv.org/abs/2503.05787,2026-01-06
2503.05773,2503.05773_Cross_Regional_Risk_Management.pdf,Between Innovation and Oversight: A Cross-Regional Study of AI Risk Management Frameworks,2025-03,"NIST AI RMF, EU AI Act, regulatory comparison",Global AI governance,https://arxiv.org/abs/2503.05773,2026-01-06
2512.11933,2512.11933_Agentic_Regulator_Finance.pdf,The Agentic Regulator: Risks for AI in Finance and a Proposed Agent-based Framework for Governance,2025-12,"AI governance, risk management, financial systems",Sector-specific regulation,https://arxiv.org/abs/2512.11933,2026-01-06
2511.13432,2511.13432_LLM_Multi_Stakeholder_Governance.pdf,The Last Vote: A Multi-Stakeholder Framework for Language Model Governance,2025-11,"AI governance, stakeholder frameworks, policy",AI governance policy,https://arxiv.org/abs/2511.13432,2026-01-06
2507.11546,2507.11546_AGILE_Index_2025.pdf,AI Governance InternationaL Evaluation Index (AGILE Index) 2025,2025-07,"AI governance, international evaluation, regulation",Global AI governance,https://arxiv.org/abs/2507.11546,2026-01-06
2503.04739,2503.04739_Responsible_AI_Roadmap.pdf,Responsible Artificial Intelligence Systems: A Roadmap to Society's Trust,2025-03,"trustworthy AI, governance, accountability",AI governance frameworks,https://arxiv.org/abs/2503.04739,2026-01-06
2505.01643,2505.01643_Third_Party_Compliance.pdf,Third-party Compliance Reviews in AI Governance,2025-05,"compliance review, EU AI Act, Frontier AI",Compliance verification,https://arxiv.org/abs/2505.01643,2026-01-06
2509.09299,2509.09299_Cloud_Control_Security.pdf,"Towards Efficient and Secure Cloud Control Systems: Advances, Challenges, and Future Directions",2025-09,"cloud security, automation, infrastructure",Cloud infrastructure,https://arxiv.org/abs/2509.09299,2026-01-06
2512.16419,2512.16419_LLM_Security_Compliance.pdf,Large Language Models as a (Bad) Security Norm in Regulation and Compliance,2025-12,"LLM security, compliance frameworks, regulation",LLM compliance,https://arxiv.org/abs/2512.16419,2026-01-06
2406.17864,2406.17864_AIR_Risk_Categorization.pdf,AI Risk Categorization Decoded (AIR 2024): From Government Regulations to Corporate Policies,2024-06,"AI risk taxonomy, regulation, policy",Risk management frameworks,https://arxiv.org/abs/2406.17864,2026-01-06
