arxiv_id,title,authors,published_date,pages_estimated,compliance_focus,backup_relevance,key_topics
2507.00343,Meaningful Data Erasure in the Presence of Dependencies,Unknown,2025-07,15+,GDPR Right to Erasure,Direct,Data deletion; Database erasure; Dependencies; Inference; GDPR compliance
2507.03034,Rethinking Data Protection in the (Generative) AI Era,Unknown,2025-07,20+,GDPR and AI Act,Moderate,GDPR; Data protection; Right to erasure; Unlearning; AI systems
2307.03941,Right to be Forgotten in the Era of Large Language Models,Unknown,2024-07,15+,GDPR Right to Be Forgotten,Moderate,Right to erasure; LLMs; Data deletion; GDPR; Machine unlearning
2404.15859,Secure and Privacy-Preserving Authentication for Data Subject Rights Enforcement,Unknown,2024-04,10+,GDPR Data Subject Rights,Moderate,Data subject rights; Authentication; GDPR enforcement; Access control
2307.04316,Accelerating Secure and Verifiable Data Deletion in Cloud Storage via SGX and Blockchain,Unknown,2023-07,12+,Cloud Compliance,Direct,Data deletion; Cloud storage; SGX; Blockchain; Verification
2504.11744,From Cyber Threat to Data Shield: Constructing Provably Secure File Erasure with Repurposed Ransomware Cryptography,Unknown,2025-04,20+,Ransomware Defense,Direct,File erasure; Cryptography; Ransomware; Secure deletion
2409.08390,Automated Cybersecurity Compliance and Threat Response Using AI; Blockchain & Smart Contracts,Unknown,2024-09,15+,Multi-Standard Compliance,Direct,Cybersecurity compliance; Blockchain; Smart contracts; FINRA; HIPAA
2508.08898,Redactable Blockchains: An Overview,Unknown,2025-08,18+,GDPR and Blockchain,Moderate,Blockchain; Immutability; GDPR; Redaction; Right to be forgotten
2506.08781,Lightweight and High-Throughput Secure Logging for Internet of Things and Cold Cloud Continuum,Unknown,2025-06,15+,IoT/Cloud Compliance,Moderate,Secure logging; IoT; Cold storage; Audit trails; Compliance
2505.17236,LogStamping: A Blockchain-Based Log Auditing Approach for Large-Scale Systems,Unknown,2025-05,14+,Audit and Compliance,Direct,Blockchain logging; Audit trails; Tamper-proofing; Compliance; Forensics
2502.10635,Privacy Preservation through Practical Machine Unlearning,Unknown,2025-02,16+,GDPR/CCPA Compliance,Moderate,Machine unlearning; Privacy; GDPR; CCPA; Data deletion
2511.06794,Beyond Uniform Deletion: A Data Value-Weighted Framework for Certified Machine Unlearning,Unknown,2025-11,20+,Privacy Regulations,Moderate,Data deletion; Machine learning; Privacy guarantees; Certification
2507.04771,Efficient Unlearning with Privacy Guarantees,Unknown,2025-07,14+,Privacy Regulations,Moderate,Unlearning; Privacy guarantees; Data deletion; k-anonymity; Differential privacy
2508.15844,Ransomware Negotiation: Dynamics and Privacy-Preserving Mechanism Design,Unknown,2025-08,12+,Backup Recovery Strategy,Direct,Ransomware; Data recovery; Backup strategy; Encryption; Double extortion
2508.20444,Ransomware 3.0: Self-Composing and LLM-Orchestrated,Unknown,2025-08,18+,Backup Defense/Recovery,Direct,Ransomware; LLM attacks; AI-driven threats; Backup targeting; Resilience
