arxiv_id,title,authors,published,pages,affiliation,relevance_score,downloaded,summary
2512.24040v1,ROAD: Reflective Optimization via Automated Debugging for Zero-Shot Agent Alignment,Natchaya Temyingyong; Daman Jain; Neeraj Kumarsahu,2025-12-30T07:31:34Z,8,Unknown,10,True,"Automatic Prompt Optimization (APO) has emerged as a critical technique for enhancing Large Language Model (LLM) performance, yet current state-of-the-art methods typically rely on large, labeled gold"
2512.16970v1,PAACE: A Plan-Aware Automated Agent Context Engineering Framework,Kamer Ali Yuksel,2025-12-18T12:54:56Z,8,Unknown,10,True,"Large Language Model (LLM) agents are increasingly deployed in complex, multi-step workflows involving planning, tool use, reflection, and interaction with external knowledge systems. These workflows "
2512.12791v2,Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems,Sreemaee Akshathala; Bassam Adnan; Mahisha Ramesh,2025-12-14T18:17:40Z,8,Unknown,10,True,"Recent advances in agentic AI have shifted the focus from standalone Large Language Models (LLMs) to integrated systems that combine LLMs with tools, memory, and other agents to perform complex tasks."
2601.00848v1,Temporal Attack Pattern Detection in Multi-Agent AI Workflows: An Open Framework for Training Trace-Based Security Models,Ron F. Del Rosario,2025-12-29T09:41:22Z,8,Unknown,10,True,We present an openly documented methodology for fine-tuning language models to detect temporal attack patterns in multi-agent AI workflows using OpenTelemetry trace analysis. We curate a dataset of 80
2512.09898v1,Visual Heading Prediction for Autonomous Aerial Vehicles,Reza Ahmari; Ahmad Mohammadi; Vahid Hemmati,2025-12-10T18:27:37Z,8,Unknown,10,True,The integration of Unmanned Aerial Vehicles (UAVs) and Unmanned Ground Vehicles (UGVs) is increasingly central to the development of intelligent autonomous systems for applications such as search and 
2512.05270v1,XR-DT: Extended Reality-Enhanced Digital Twin for Agentic Mobile Robots,Tianyi Wang; Jiseop Byeon; Ahmad Yehia,2025-12-04T21:49:14Z,8,Unknown,10,True,"As mobile robots increasingly operate alongside humans in shared workspaces, ensuring safe, efficient, and interpretable Human-Robot Interaction (HRI) has become a pressing challenge. While substantia"
2512.09939v1,Norm-Governed Multi-Agent Decision-Making in Simulator-Coupled Environments:The Reinsurance Constrained Multi-Agent Simulation Process (R-CMASP),Stella C. Dong,2025-12-04T10:30:26Z,8,Unknown,10,True,"Reinsurance decision-making exhibits the core structural properties that motivate multi-agent models: distributed and asymmetric information, partial observability, heterogeneous epistemic responsibil"
2512.04405v1,Towards 6G Native-AI Edge Networks: A Semantic-Aware and Agentic Intelligence Paradigm,Chenyuan Feng; Anbang Zhang; Geyong Min,2025-12-04T03:09:33Z,8,Unknown,10,True,"The evolution toward sixth-generation wireless systems positions intelligence as a native network capability, fundamentally transforming the design of radio access networks (RANs). Within this vision,"
2512.00614v1,Hierarchical Decentralized Multi-Agent Coordination with Privacy-Preserving Knowledge Sharing: Extending AgentNet for Scalable Autonomous Systems,Goutham Nalagatla,2025-11-29T20:07:20Z,8,Unknown,10,True,Decentralized multi-agent systems have shown promise in enabling autonomous collaboration among LLM-based agents. While AgentNet demonstrated the feasibility of fully decentralized coordination throug
2511.21510v2,Tool-RoCo: An Agent-as-Tool Self-organization Large Language Model Benchmark in Multi-robot Cooperation,Ke Zhang; Xiaoning Zhao; Ce Zheng,2025-11-26T15:45:33Z,8,Unknown,10,True,"This study proposes Tool-RoCo, a novel benchmark for evaluating large language models (LLMs) in long-term multi-agent cooperation based on RoCo, a multi-robot cooperative benchmark. Recent research on"
2511.19562v1,Trust-Based Social Learning for Communication (TSLEC) Protocol Evolution in Multi-Agent Reinforcement Learning,Abraham Itzhak Weinberg,2025-11-24T15:31:51Z,8,Unknown,10,True,"Emergent communication in multi-agent systems typically occurs through independent learning, resulting in slow convergence and potentially suboptimal protocols. We introduce TSLEC (Trust-Based Social "
2511.12254v2,Mobile-Agent-RAG: Driving Smart Multi-Agent Coordination with Contextual Knowledge Empowerment for Long-Horizon Mobile Automation,Yuxiang Zhou; Jichang Li; Yanhao Zhang,2025-11-15T15:22:42Z,8,Unknown,10,True,"Mobile agents show immense potential, yet current state-of-the-art (SoTA) agents exhibit inadequate success rates on real-world, long-horizon, cross-application tasks. We attribute this bottleneck to "
2511.11252v1,UAVBench: An Open Benchmark Dataset for Autonomous and Agentic AI UAV Systems via LLM-Generated Flight Scenarios,Mohamed Amine Ferrag; Abderrahmane Lakas; Merouane Debbah,2025-11-14T12:51:48Z,8,Unknown,10,True,"Autonomous aerial systems increasingly rely on large language models (LLMs) for mission planning, perception, and decision-making, yet the lack of standardized and physically grounded benchmarks limit"
2511.08832v1,TIGER-MARL: Enhancing Multi-Agent Reinforcement Learning with Temporal Information through Graph-based Embeddings and Representations,Nikunj Gupta; Ludwika Twardecka; James Zachary Hare,2025-11-11T23:00:23Z,8,Unknown,10,True,"In this paper, we propose capturing and utilizing \textit{Temporal Information through Graph-based Embeddings and Representations} or \textbf{TIGER} to enhance multi-agent reinforcement learning (MARL"
2510.14112v2,STEMS: Spatial-Temporal Enhanced Safe Multi-Agent Coordination for Building Energy Management,Huiliang Zhang; Di Wu; Arnaud Zinflou,2025-10-15T21:33:58Z,8,Unknown,10,True,"Building energy management is essential for achieving carbon reduction goals, improving occupant comfort, and reducing energy costs. Coordinated building energy management faces critical challenges in"
