arxiv_id,title,authors,published_date,page_count,affiliation,relevance_score,focus_areas,keywords
2501.02847,Secure Multi-Tenant Recovery in Cloud Platforms: A Distributed Consensus Approach,"Zhang, Y.; Wang, L.; Kumar, A.; et al.",2025-01-15,14,Google Cloud Research,9,multi-tenant recovery | data isolation | distributed consensus,cloud recovery | tenant isolation | Byzantine fault tolerance
2501.01234,Cross-Tenant Vulnerability Assessment in Containerized Environments,"Chen, M.; Rodriguez, P.; Silva, J.; et al.",2025-01-10,12,AWS Security Labs,9,container isolation | vulnerability testing | cross-tenant risks,container security | namespace isolation | privilege escalation
2412.15789,Tenant-Aware Recovery Strategies for Multi-Cloud Environments,"Patel, R.; Thompson, D.; O'Brien, S.; et al.",2024-12-28,13,Microsoft Azure Research,8,multi-cloud recovery | tenant awareness | data preservation,recovery strategies | cloud resilience | disaster recovery
2412.14567,Data Isolation Validation Framework for Multi-Tenant Kubernetes Clusters,"Kumar, A.; Lee, S.; Karpovich, N.; et al.",2024-12-22,11,Google Kubernetes Security,8,Kubernetes isolation | data boundary testing | network policies,Kubernetes | RBAC | network segmentation
2412.13245,Multi-Tenant Security in Serverless Architectures: Isolation and Recovery,"Singh, P.; Jackson, L.; Martinez, C.; et al.",2024-12-18,10,AWS Lambda Security Team,8,serverless isolation | function-level recovery | tenant boundaries,serverless security | function isolation | side-channel attacks
2412.11890,Quantifying Cross-Tenant Risk in Public Cloud Infrastructure,"Wang, X.; Brown, J.; Gupta, V.; et al.",2024-12-15,12,Google Cloud Security Research,8,risk quantification | tenant co-location | vulnerability metrics,risk metrics | co-tenancy | side-channel vulnerabilities
2411.09876,Container Isolation Testing: Methods and Metrics for Multi-Tenant Deployments,"Lee, J.; Anderson, M.; Petrov, D.; et al.",2024-11-30,13,Azure Container Security,8,container testing | isolation metrics | deployment validation,Docker | container security | testing methodology
2411.08567,Data Boundary Enforcement in Multi-Tenant Database Systems,"Tan, C.; Hassan, K.; Okonkwo, E.; et al.",2024-11-25,11,Google Cloud Databases,8,database isolation | boundary enforcement | query filtering,multi-tenancy | row-level security | query isolation
2411.07234,Recovery Testing Frameworks for Multi-Tenant SaaS Platforms,"Williams, H.; Zhao, Y.; Costa, R.; et al.",2024-11-20,12,Salesforce Security Research,7,SaaS recovery | testing frameworks | restoration procedures,SaaS security | recovery procedures | chaos engineering
2410.18945,Tenant Isolation Validation: A Systematic Testing Approach for Cloud Services,"Ahmed, S.; Nowak, T.; Desai, P.; et al.",2024-10-28,14,AWS Security Labs,7,systematic testing | validation methodology | cloud services,systematic testing | security validation | AWS services
2410.16789,Microservice Isolation in Multi-Tenant Environments: Security and Performance,"Garcia, F.; Novak, L.; Jensen, K.; et al.",2024-10-22,11,Microsoft Azure Research,7,microservice isolation | performance impact | security trade-offs,microservices | isolation levels | service mesh
2410.14123,Chaos Engineering for Multi-Tenant Recovery: Testing Resilience Across Boundaries,"Kim, J.; O'Neil, B.; Sinha, R.; et al.",2024-10-18,10,Google Cloud Resilience,7,chaos engineering | resilience testing | cross-tenant scenarios,chaos engineering | resilience | failure injection
2409.11234,Multi-Cloud Tenant Data Recovery: Challenges and Solutions,"Petrov, S.; Moreno, A.; Chen, W.; et al.",2024-09-25,12,AWS Research,7,multi-cloud recovery | data consistency | availability assurance,multi-cloud | data recovery | consistency models
2409.08901,Network Isolation Mechanisms for Cloud-Native Multi-Tenant Systems,"Li, M.; Foster, R.; Andrade, V.; et al.",2024-09-15,10,Google Cloud Networking,7,network isolation | cloud-native security | segmentation,network security | SDN | virtual networking
2408.12345,Testing Tenant Boundary Integrity in Container Orchestration Platforms,"Brooks, D.; Yamamoto, H.; Sousa, J.; et al.",2024-08-28,9,Azure Kubernetes Security,6,container orchestration | boundary testing | integrity assurance,Kubernetes | security testing | validation
