arxiv_id,title,first_author,published,year,pages,relevance,url,pdf_url,summary
2511.13517v1,"Interpretable Ransomware Detection Using Hybrid Large Language Models: A Comparative Analysis of BERT, RoBERTa, and DeBERTa Through LIME and SHAP",Elodie Mutombo Ngoie,2025-11-17T15:51:36Z,2025,7,9,http://arxiv.org/abs/2511.13517v1,http://arxiv.org/pdf/2511.13517v1.pdf,"Ransomware continues to evolve in complexity, making early and explainable detection a critical requirement for modern cybersecurity systems. This study presents a comparative analysis of three Transformer-based Large Language Models (LLMs) (BERT, RoBERTa, and DeBERTa) for ransomware detection using..."
2511.06429v1,"Inside LockBit: Technical, Behavioral, and Financial Anatomy of a Ransomware Empire",Felipe Castaño,2025-11-09T15:50:30Z,2025,7,9,http://arxiv.org/abs/2511.06429v1,http://arxiv.org/pdf/2511.06429v1.pdf,"LockBit has evolved from an obscure Ransomware-as-a-Service newcomer in 2019 to the most prolific ransomware franchise of 2024. Leveraging a recently leaked MySQL dump of the gang's management panel, this study offers an end-to-end reconstruction of LockBit's technical, behavioral, and financial app..."
2511.01583v1,Federated Cyber Defense: Privacy-Preserving Ransomware Detection Across Distributed Systems,Daniel M. Jimenez-Gutierrez,2025-11-03T13:54:13Z,2025,7,9,http://arxiv.org/abs/2511.01583v1,http://arxiv.org/pdf/2511.01583v1.pdf,"Detecting malware, especially ransomware, is essential to securing today's interconnected ecosystems, including cloud storage, enterprise file-sharing, and database services. Training high-performing artificial intelligence (AI) detectors requires diverse datasets, which are often distributed across..."
2510.21957v1,Towards Low-Latency and Adaptive Ransomware Detection Using Contrastive Learning,Zhixin Pan,2025-10-24T18:33:52Z,2025,7,9,http://arxiv.org/abs/2510.21957v1,http://arxiv.org/pdf/2510.21957v1.pdf,"Ransomware has become a critical threat to cybersecurity due to its rapid evolution, the necessity for early detection, and growing diversity, posing significant challenges to traditional detection methods. While AI-based approaches had been proposed by prior works to assist ransomware detection, ex..."
2510.15133v1,"Intermittent File Encryption in Ransomware: Measurement, Modeling, and Detection",Ynes Ineza,2025-10-16T20:48:22Z,2025,7,9,http://arxiv.org/abs/2510.15133v1,http://arxiv.org/pdf/2510.15133v1.pdf,"File encrypting ransomware increasingly employs intermittent encryption techniques, encrypting only parts of files to evade classical detection methods. These strategies, exemplified by ransomware families like BlackCat, complicate file structure based detection techniques due to diverse file format..."
2512.24039v1,Continuous Angular Power Spectrum Recovery From Channel Covariance via Chebyshev Polynomials,Shengsong Luo,2025-12-30T07:24:44Z,2025,7,9,http://arxiv.org/abs/2512.24039v1,http://arxiv.org/pdf/2512.24039v1.pdf,"This paper proposes a Chebyshev polynomial expansion framework for the recovery of a continuous angular power spectrum (APS) from channel covariance. By exploiting the orthogonality of Chebyshev polynomials in a transformed domain, we derive an exact series representation of the covariance and refor..."
2510.25470v1,An In-Depth Analysis of Cyber Attacks in Secured Platforms,Parick Ozoh,2025-10-29T12:43:18Z,2025,7,7,http://arxiv.org/abs/2510.25470v1,http://arxiv.org/pdf/2510.25470v1.pdf,"There is an increase in global malware threats. To address this, an encryption-type ransomware has been introduced on the Android operating system. The challenges associated with malicious threats in phone use have become a pressing issue in mobile communication, disrupting user experiences and posi..."
2511.13499v1,Uniform Feasibility For Smoothed Backup Control Barrier Functions,Anil Alan,2025-11-17T15:37:36Z,2025,7,6,http://arxiv.org/abs/2511.13499v1,http://arxiv.org/pdf/2511.13499v1.pdf,"We study feasibility guarantees for safety filters developed using Control Barrier Functions (CBFs) when a safe set is defined using the pointwise minimum of continuously differentiable functions, a construction that is common for the backup CBF method and typically nonsmooth. We replace the minimum..."
2510.09810v1,Designing Control Barrier Functions Using a Dynamic Backup Policy,Victor Freire,2025-10-10T19:16:57Z,2025,7,6,http://arxiv.org/abs/2510.09810v1,http://arxiv.org/pdf/2510.09810v1.pdf,"This paper presents a systematic approach to construct control barrier functions for nonlinear control affine systems subject to arbitrary state and input constraints. Taking inspiration from the reference governor literature, the proposed method defines a family of backup policies, parametrized by ..."
2510.05436v1,Safety-Critical Control with Bounded Inputs: A Closed-Form Solution for Backup Control Barrier Functions,David E. J. van Wijk,2025-10-06T23:02:18Z,2025,7,6,http://arxiv.org/abs/2510.05436v1,http://arxiv.org/pdf/2510.05436v1.pdf,"Verifying the safety of controllers is critical for many applications, but is especially challenging for systems with bounded inputs. Backup control barrier functions (bCBFs) offer a structured approach to synthesizing safe controllers that are guaranteed to satisfy input bounds by leveraging the kn..."
2601.00906v1,Dynamic Disruption Resilience in Intermodal Transport Networks: Integrating Flow Weighting and Centrality Measures,Aliza Sharmin,2025-12-31T22:01:56Z,2025,7,6,http://arxiv.org/abs/2601.00906v1,http://arxiv.org/pdf/2601.00906v1.pdf,"Resilient intermodal freight networks are vital for sustaining supply chains amid increasing threats from natural hazards and cyberattacks. While transportation resilience has been widely studied, understanding how random and targeted disruptions affect both structural connectivity and functional pe..."
2512.23658v1,A Review of Community-Centric Power Systems Resilience Assessment and Enhancement Strategies,Masoud H. Nazaria,2025-12-29T18:11:09Z,2025,7,6,http://arxiv.org/abs/2512.23658v1,http://arxiv.org/pdf/2512.23658v1.pdf,"This paper presents a comprehensive review of resilience metrics, covering both engineering-based measures, such as fragility-curve modeling, and data-driven approaches, including triangular and trapezoidal representations. Next, the paper examines the interdependencies between power systems resilie..."
2512.22243v1,Predicting Mycotoxin Contamination in Irish Oats Using Deep and Transfer Learning,Alan Inglis,2025-12-23T20:08:50Z,2025,7,6,http://arxiv.org/abs/2512.22243v1,http://arxiv.org/pdf/2512.22243v1.pdf,"Mycotoxin contamination poses a significant risk to cereal crop quality, food safety, and agricultural productivity. Accurate prediction of mycotoxin levels can support early intervention strategies and reduce economic losses. This study investigates the use of neural networks and transfer learning ..."
2511.17070v2,TICAL: Trusted and Integrity-protected Compilation of AppLications,Robert Krahn,2025-11-21T09:19:41Z,2025,7,6,http://arxiv.org/abs/2511.17070v2,http://arxiv.org/pdf/2511.17070v2.pdf,"During the past few years, we have witnessed various efforts to provide confidentiality and integrity for applications running in untrusted environments such as public clouds. In most of these approaches, hardware extensions such as Intel SGX, TDX, AMD SEV, etc., are leveraged to provide encryption ..."
