arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2502.03149,"Secure Resource Management in Cloud Computing: Challenges, Strategies and Meta-Analysis","Deepika Saxena, Smruti Rekha Swain, Jatinder Kumar, Sakshi Patni, Kishu Gupta, Ashutosh Kumar Singh, Volker Lindenstruth",2025-02-05,16,Unknown,7,"Examines cybersecurity in cloud resource management; categorizes threat countermeasures into defensive, mitigating, and hybrid strategies using VM data traces"
2510.12469,"Proof of Cloud: Data Center Execution Assurance for Confidential VMs","Filip Rezabek, Moe Mahhouk, Andrew Miller, Stefan Genchev, Quintus Kilbourn, Georg Carle, Jonathan Passerat-Palmbach",2025-10-14,Unknown,Unknown,9,"Introduces DCEA mechanism to verify confidential VMs run on trusted hardware; binds CVMs to underlying platforms using TPM measurements; mitigates replay and attestation proxying attacks"
2502.02720,"Risk-Aware Sensitive Property-Driven Resource Management in Cloud Datacenters","Muhamad Felemban, Abdulrahman Almutairi, Arif Ghafoor",2025-02-04,Unknown,Unknown,9,"Addresses multi-tenant cloud security through information-theoretic data sensitivity measures; develops resource allocation mechanisms to mitigate data leakage risks from untrusted tenants"
2402.10985,"CloudLens: Modeling and Detecting Cloud Security Vulnerabilities","Mikhail Kazdagli, Mohit Tiwari, Akshat Kumar",2024-02-16,Unknown,Unknown,9,"Models cloud security through planning-based approach to detect IAM misconfigurations; validates against 14 AWS configurations; identifies vulnerabilities missed by industry tools"
2509.08083,"Establishing a Baseline of Software Supply Chain Security Task Adoption by Software Organizations","Laurie Williams, Sammy Migues",2025-09-09,Unknown,Unknown,8,"Empirical study of SSC security adoption; presents Proactive-SSCRM framework synthesizing NIST, OpenSSF, CISA, and CNCF guidelines; identifies early-stage adoption for emerging threats"
2406.10109,"SoK: Analysis of Software Supply Chain Security by Establishing Secure Design Properties","Chinenye Okafor, Taylor R. Schorlemmer, Santiago Torres-Arias, James C. Davis",2024-06-14,Unknown,Unknown,9,"Proposes three core security properties for supply chains: transparency, validity, and separation; systematically analyzes security frameworks and identifies gaps in existing defenses"
2411.16099,"An Empirical Study of Vulnerability Detection using Federated Learning","Peiheng Zhou, Ming Hu, Xingrun Quan, Yawen Peng, Xiaofei Xie, Yanxin Yang, Chengwei Liu, Yueming Wu, Mingsong Chen",2024-11-25,Unknown,Unknown,7,"Establishes evaluation framework for FL-based vulnerability detection; demonstrates FL improves detection performance on common CWEs compared to isolated training; addresses privacy-preserving collaboration"
2505.01643,"Third-party compliance reviews for frontier AI safety frameworks","Aidan Homewood, Sophie Williams, Noemi Dreksler, John Lidiard, Malcolm Murray, Lennart Heim, Marta Ziosi, Seán Ó hÉigeartaigh, Michael Chen, Kevin Wei, Christoph Winter, Miles Brundage, Ben Garfinkel, Jonas Schuett",2025-05-03,27,Unknown,9,"Explores third-party compliance verification mechanisms for AI safety; proposes minimalist, ambitious, and comprehensive assessment approaches; addresses reviewer selection, methodologies, and disclosure options"
2502.06656,"A Frontier AI Risk Management Framework: Bridging the Gap Between Current AI Practices and Established Risk Management","Simeon Campos, Henry Papadatos, Fabien Roger, Chloé Touzet, Otter Quarks, Malcolm Murray",2025-02-10,Unknown,Unknown,8,"Integrates established risk management principles with AI-specific practices; four-component approach: identification, analysis, treatment, governance; emphasizes containment, deployment controls, and assurance"
2506.13666,"We Should Identify and Mitigate Third-Party Safety Risks in MCP-Powered Agent Systems","Junfeng Fang, Zijun Yao, Ruipeng Wang, Haokai Ma, Xiang Wang, Tat-Seng Chua",2025-06-16,Unknown,Unknown,10,"Directly addresses third-party MCP safety risks in agent systems; demonstrates that MCPs introduce potentially malicious uncontrolled services; proposes red teaming, safety evaluation, and ecosystem safeguards"
2512.05951,"Trusted AI Agents in the Cloud","Teofil Bodea, Masanori Misono, Julian Pritzi, Patrick Sabanic, Thore Sommer, Harshavardhan Unnibhavi, David Schall, Nuno Santos, Dimitrios Stavrakakis, Pramod Bhatotia",2025-12-13,Unknown,Unknown,9,"Implements Omega platform for trusted multi-tenant AI agents in cloud; provides nested isolation, verifiable cross-principal trust, policy-driven governance; deployed on AMD SEV-SNP and NVIDIA H100"
2508.18298,"Murakkab: Resource-Efficient Agentic Workflow Orchestration in Cloud Platforms","Gohar Irfan Chaudhry, Esha Choukse, Haoran Qiu, Íñigo Goiri, Rodrigo Fonseca, Adam Belay, Ricardo Bianchini",2025-08-22,Unknown,Unknown,9,"Decouples workflow specification from execution configuration in cloud platforms; achieves 2.8× GPU reduction, 3.7× energy savings, 4.3× cost reduction; balances accuracy, latency, energy, cost trade-offs"
2510.06445,"A Survey on Agentic Security: Applications, Threats and Defenses","Asif Shahriar, Md Nafiu Rahman, Sadif Ahmed, Farig Sadeque, Md Rizwan Parvez",2025-10-07,Unknown,Unknown,10,"Comprehensive survey of agentic security landscape; taxonomy of 160+ papers; three pillars: applications, threats, defenses; addresses agent vulnerabilities and protective countermeasures"
2506.06730,"Fuse and Federate: Enhancing EV Charging Station Security with Multimodal Fusion and Federated Learning","Rabah Rahal, Abdelaziz Amara Korba, Yacine Ghamri-Doudane",2025-06-07,Unknown,Unknown,8,"Federated intrusion detection using multimodal fusion (network traffic + kernel events); achieves 98%+ detection rate and 97%+ precision; privacy-preserving collaborative learning in distributed infrastructure"
